number,value,datetime_start,datetime_complete,duration,params_alpha,params_lr,params_r,state
0,0.2927,2026-04-04 07:19:22.668144,2026-04-04 07:44:30.830941,0 days 00:25:08.162797,2,5e-05,4,COMPLETE
1,0.052,2026-04-04 07:44:30.831390,2026-04-04 08:09:42.674360,0 days 00:25:11.842970,2,2e-05,8,COMPLETE
2,0.4042,2026-04-04 08:09:42.674753,2026-04-04 08:34:53.703775,0 days 00:25:11.029022,8,5e-05,8,COMPLETE
3,0.1531,2026-04-04 08:34:53.704144,2026-04-04 08:51:40.289194,0 days 00:16:46.585050,2,5e-05,4,PRUNED
4,0.3779,2026-04-04 08:51:40.289382,2026-04-04 09:16:50.736545,0 days 00:25:10.447163,8,5e-05,8,COMPLETE
5,0.3738,2026-04-04 09:16:50.736952,2026-04-04 09:41:59.508812,0 days 00:25:08.771860,8,5e-05,2,COMPLETE
6,0.1276,2026-04-04 09:41:59.509187,2026-04-04 09:58:45.984955,0 days 00:16:46.475768,8,2e-05,4,PRUNED
7,0.426,2026-04-04 09:58:45.985138,2026-04-04 10:23:56.379683,0 days 00:25:10.394545,4,0.0001,8,COMPLETE
8,0.0415,2026-04-04 10:23:56.380076,2026-04-04 10:40:42.930075,0 days 00:16:46.549999,4,2e-05,4,PRUNED
9,0.3698,2026-04-04 10:40:42.930255,2026-04-04 11:05:51.506948,0 days 00:25:08.576693,8,5e-05,2,PRUNED
